c file generated by mubqpGenerator.R with seed  2 the 09/26/2012 21:10:51 
c version 1.0
c
c one column for each dimension
c each matrix is given by: c(1,1) ... c(N,1) c(1,2) ... c(N,2) ... c(N,N)
c
p MUBQP -0.9 2 8 0.8 
p matrices
67  30  
-92  -73  
0  0  
-8  20  
-53  -34  
-96  7  
0  0  
-32  77  
0  0  
39  -61  
-89  -98  
-64  -23  
-50  35  
-96  -68  
0  0  
-91  94  
0  0  
-7  -97  
-55  -22  
-41  42  
-53  35  
-55  -17  
67  -49  
79  -47  
56  10  
20  -97  
48  94  
-58  93  
14  -14  
0  0  
35  -71  
52  96  
27  64  
53  -96  
0  0  
20  54  
-71  85  
84  95  
66  3  
-45  -44  
97  -29  
-5  -52  
0  0  
73  29  
29  45  
-10  -59  
-68  56  
0  0  
-51  -87  
-51  -73  
0  0  
0  0  
58  -73  
97  86  
36  -42  
14  34  
-89  88  
65  -85  
0  0  
92  -86  
0  0  
-97  -16  
55  -34  
-66  1  
